ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Timer,Meta: _wcsquare_disable_sync,Meta: _wpas_done_all,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _roi_related_products,Meta: _checkbox,Meta: berocket_post_order,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_title,Attribute 1 default
68N,simple,,10-Day Challenge,1,0,visible,,"<h3>Major Rest. Reset. Refresh for the Body and Mind, BAM!</h3>
\nInspired by our client ""T"" and his commitment and success on two 10-Day Cleanses with us, we have created the 10-Day TNT Challenge for those looking to go all in on a physical and mental challenge that will make a positive impact on your relationship with food.
\n<h3>Our Recommended Program</h3>
\nYou will consume the seasonal menu of nutrient-rich beverages in this sequence:
\n<h3 class=""gmail_default"">DAY #1 - 2</h3>
\n<p class=""gmail_default""><strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/timelines/the-ra-ra/"">Ra-Ra Cleanse</a></strong> <em>includes 2 green vegetable juices, 2 fruit juices, 1 herbal tea, 1 savory soup plus one Detox salad each day</em></p>
\n
\n<div class=""gmail_default""></div>
\n<h3 class=""gmail_default"">DAY #3 - 4</h3>
\n<p class=""gmail_default""><strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/timelines/the-power/"">The Power</a></strong> <em>includes 2 green vegetable juices, 2 fruit juices, 2 nut milks, 1 chia fruit juice, 1 herbal tea each day</em></p>
\n
\n<div class=""gmail_default""></div>
\n<h3 class=""gmail_default"">DAY #5 - 6</h3>
\n<p class=""gmail_default""><strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/timelines/can-can/"">CAN CAN Cleanse</a></strong> <em>includes 2 green vegetable juices, 2 fruit juices, 2 herbal teas, 1 nut milk, 1 savory soup each day</em></p>
\n
\n<div class=""gmail_default""></div>
\n<h3 class=""gmail_default"">DAY #7 - 8</h3>
\n<p class=""gmail_default""><strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/timelines/green-core-cleanse-drink/"">The Green Core Detox</a></strong> <em>includes 4 green vegetables juices, 2 veggie broths, 1 fruit juice, 1 herbal tea each day</em></p>
\n
\n<div class=""gmail_default""></div>
\n<h3 class=""gmail_default"">DAY #9 - 10</h3>
\n<p class=""gmail_default""><strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/timelines/can-can/"">CAN CAN Cleanse</a></strong> <em>includes 2 green vegetable juices, 2 fruit juices, 2 herbal teas, 1 nut milk, 1 savory soup each day</em></p>
\n
\n<h3>Warm-Up &amp; Cool-Down</h3>
\nAs with all of our cleanse programs, we strongly recommend preparing for your cleanse as well as slowly reintroducing whole foods after your cleanse. Please visit our <strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/pre-cleanse-warm-up/"">Pre-Cleanse Warm-Up</a></strong> and <strong><a href=""https://cancancleanse.com/cleanses/the-guidelines/post-cleanse-coll-down-diet/"">Post-Cleanse Cool-Down</a></strong> guidelines. We recommend starting to prepare your body and mind a minimum of 5 days prior to the start of your 10-Day Challenge.
\n<h3>Who should do a 10-Day Cleanse?</h3>
\nThis cleanse is for my experienced cleansers who have CAN CAN'ed before and would like to commit their bodies and minds to an extended cleanse program to deeply reflect, rest and make a commitment to change their bad habits for good! Designed for clients who are looking for a full departure from their current eating habits, this rigorous practice is best described as lifestyle altering and created to help clients focus on the importance of taking care of their bodies for long-term health and wellness.
\n
\nPlease contact <strong><a href=""mailto:teresa@cancancleanse.com"">Teresa</a></strong> if you have questions about if The 10-Day Challenge is right for you.
\n<h3>Delivery Schedule</h3>
\nPlease note, our 10-Day Cleanse requires 3-4 deliveries over the course of the 10 days to ensure freshness! An email will be sent to coordinate your delivery schedule once your online order is received. Thank you!",,,taxable,,1,,,0,0,,,,,1,,,825,"New, Cleanses > The Challenges",cleanse,,https://cancancleanse.com/wp-content/uploads/2018/10/10-day-challenge_item.jpg,,,,,,,,,7,czowOiIiOw==,no,1,91,60,722,no,0,,,,,,
69N,simple,,All Seasons Pass,1,0,visible,,"<h3>COMMIT TO HAPPINESS &amp; HEALTH ALL YEAR LONG!</h3>
\n<h3>Amazing Savings When You Prepare for a Healthy 2020!</h3>
\nWe want to support you on your health and wellness path all year long! As an All-Seasons Pass holder, you are committed to a <strong>3-Day Cleanse every season</strong> (4 total) to keep you focused on your goals, achieve results and keep your body and mind healthy and happy. You CAN do it!
\n<h3>SAVE $$$</h3>
\n<strong>(4) 3-Day Cleanses for $850</strong>
\n
\nThis is an exclusive, limited offer. <strong>Save over $260</strong> when you purchase an All-Seasons Pass ~ (4) 3-Day CAN CAN Cleanses*. Join us for a healthier 2020. Pro-rated passes available. Please email: <a href=""mailto:info@cancancleanse.com"">info@cancancleanse.com. </a>
\n
\n*Delivery service is FREE in SF and available for an extra fee for deliveries outside of SF. The first delivery fee will be charged at check out. Future deliveries fees will be charged at time of scheduling.",,,taxable,,1,,,0,0,,,,,1,,,850,"New, Uncategorized",cleanse,,https://cancancleanse.com/wp-content/uploads/2018/10/all-season-pass.png,,,,,,,,,5,czowOiIiOw==,no,1,91,60,721,no,0,,,,,,
506N,simple,,Nut Milk Kit - Chocolate,1,0,visible,"Make your own almond milk at home | Gift to a friend!
\n
\n<strong>Take 25% OFF ~ Special Offer Code: ALMOND25</strong>","Make your own almond milk at home | Gift to a friend!
\n
\nWe have been making fresh, small batch nut milks locally for our San Francisco Bay Area clients for the past 10 years. Now we're sharing our recipes with you. Make your own almond milk at home!
\n
\nKits Include:
\n* 1 glass storage jar
\n* 1 reusable nut milk bag for straining
\n* Ingredients for 2 batches of almond milk (almonds, dates, dark cocoa)
\n* Recipe (printed on back of pouches)
\n
\nIngredient / Allergy info:
\nThe kits are dairy free, lactose free, gluten free and we use organic CA almonds.
\n
\nWarming for nut allergies: CONTAINS NUTS",,,taxable,,1,,,0,0,,,,,1,,,35,"Nut Milks > DIY Almond Milk Kits, New",,,https://cancancleanse.com/wp-content/uploads/2018/10/CanCanMilkPCKG_004.jpg,,,,,,,,,16,czowOiIiOw==,no,1,,60,726,no,0,,,,,,
508N,simple,,Nut Milk Kit - Classic,1,0,visible,"Make your own almond milk at home | Gift to a friend!
\n
\n<strong>Take 25% OFF ~ Special Offer Code: ALMOND25</strong>","Make your own almond milk at home | Gift to a friend!
\n
\nWe have been making fresh, small batch nut milks locally for our San Francisco Bay Area clients for the past 10 years. Now we're sharing our recipes with you. Make your own almond milk at home!
\n
\nKits Include:
\n* 1 glass storage jar
\n* 1 reusable nut milk bag for straining
\n* Ingredients for 2 batches of almond milk (almonds, dates, cinnamon)
\n* Recipe (printed on back of pouches)
\n
\nIngredient / Allergy info:
\nThe kits are dairy free, lactose free, gluten free and we use organic CA almonds.
\n
\nWarming for nut allergies: CONTAINS NUTS",,,taxable,,1,,,0,0,,,,,1,,,35,"Nut Milks > DIY Almond Milk Kits, New",,,https://cancancleanse.com/wp-content/uploads/2018/10/CAN-CAN-Kit-hi-res.jpg,,,,,,,,,17,czowOiIiOw==,no,1,,60,725,no,0,,,,,,
544N,simple,,Better Brain Juice 16oz,1,0,visible,"<p class=""Body"">Powerful punch of vegetable and fruit nutrients in this unique blend. Rich in calcium, iron and vitamins A and C, folic acid, manganese, potassium this blend is crafted to support brain health. Anti-inflammatory and circulation benefits from the ginger and cinnamon too. Drink this vegetable and fruit juice</p>
\n<p class=""Body"">Ingredients: Beet, carrot, apple, cucumber, fennel, lemon, ginger, cinnamon</p>",,,,taxable,,1,,,0,0,16,,,,1,,,9.95,"Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Better-Brain-Juice.jpg,,,,,,,,,37,czowOiIiOw==,no,1,114,30,332,,0,Volume,16 oz,1,0,,
555N,simple,,Green Juice 16oz,1,0,visible,"<p class=""Body"">Our signature green juice and nutrient powerhouse. Medley of green vegetables and a touch of fruit to add balance to this popular blend. Very good source of vitamins C, A &amp; B6, B1, B2, E<span lang=""PT"">, folic acid</span>, carotenes and minerals including silica (strengthens our connective tissue), potassium and magnesium, copper, and iron.</p>
\n<p class=""Body"">Ingredients: cucumber, celery, romaine, kale, spinach, fennel,  parsley, apple, lemon, ginger</p>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Juices > Green Juices, Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Green-Juice.jpg,,,,,,,,,44,czowOiIiOw==,no,1,,30,660,,0,Volume,16 oz,1,0,,
557N,simple,,Lemon Ginger 16oz,1,0,visible,"Digestive aid. Lemon helps create an alkaline environment in the stomach to aid in digestion and boost digestive health. Excellent source of vitamin C, A, B6, potassium, magnesium, folic acid and flavonoids. The phytochemical limonene found in the white spongy inner parts of the lemon, has shown anticancer activities. Coupled with a touch of cinnamon and spice to support metabolism and circulation this is everyday juice to be enjoyed warm or cold.
\n
\nIngredients: Lemon, ginger, cayenne, cinnamon, filtered water",,,,taxable,,1,,,0,0,,,,,1,,,6.5,"Juices > Fruit Juices, Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Lemon-Ginger.jpg,,,,,,,,,36,czowOiIiOw==,no,1,,30,662,,0,Volume,16 oz,1,0,,
558N,simple,,Lite Green Juice 16oz,1,0,visible,"A refreshing and light green vegetable juice blended with just a touch of lemon. Hydrates and alkalizes the body. No other fruit added. Low calorie and low sugar.
\n
\nIngredients: Cucumber, romaine, fennel, parsley, ginger, lemon.<span class=""Apple-converted-space""> </span>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Juices > Green Juices, Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Lite-green.jpg,,,,,,,,,46,czowOiIiOw==,no,1,,30,661,no,0,Volume,16 oz,1,0,,
561N,simple,,Vitamin ‘C’ 16oz,1,0,visible,"<p class=""Body"">Immunity booster. Packed with vitamin C, K, A carotenes and anti-inflammatory, digestive soothing powers from the ginger. This is an all-season juice to support immunity.</p>
\n<p class=""Body"">Ingredients: Carrot, orange, ginger</p>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Juices > Fruit Juices, Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Vit-C.jpg,,,,,,,,,41,czowOiIiOw==,no,1,,30,664,,0,Volume,16 oz,1,0,,
575N,simple,,Cardamon Almond Milk 16oz,1,0,visible,"<p class=""Body"">A speciality flavor, our cardamon almond milk is a favorite of chai lovers. The cardamon spice elevates the nutty richness of the almonds. Try warming this almond milk for a cozy, spice delight. No additives or preservatives and never any added refined sugars. Vegan, dairy-free. Gluten-free.</p>
\n<p class=""Body"">Ingredients: Almonds, cardamon, dates, filtered water</p>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Nut Milks > Almond Milks, New",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/10/Vanilla-unsweetened-cardamom.jpg,,,,,,,,,38,czowOiIiOw==,no,1,,30,680,,0,Volume,16 oz,1,0,,
